Quote;Author;Gender;Category
Happiness is the feeling that power increases — that resistance is being overcome.;Friedrich Nietzsche;M;philosophy
The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.;Elie Wiesel;F;philosophy
It does not do to dwell on dreams and forget to live;J.K. Rowling;F;philosophy
If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud;Emile Zola;F;philosophy
