Author,Category,Gender,Quote
 S�ren Kierkegaard,philosophy,M,Life must be understood backward. But it must be lived forward  
 Bertrand Russell,philosophy,M,Science is what you know. Philosophy is what you don't know 
 Immanuel Kant,philosophy,M,"Metaphysics is a dark ocean without shores or lighthouse, strewn with many a philosophic wreck "
 William James,philosophy,M,Philosophy is at once the most sublime and the most trivial of human pursuits 
 Thucydides,philosophy,M,History is Philosophy teaching by examples 
 Aristotle,philosophy,M,"He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god "
 Plato,philosophy,M,You can discover more about a person in an hour of play than in a year of conversation 
 Francis Bacon,philosophy,M,"Things alter for the worse spontaneously, if they be not altered for the better designedly "
Edmund Burke,philosophy,M,All that is necessary for the triumph of evil is that good men do nothing 
 Friedrich Nietzsche,philosophy,M,Is man merely a mistake of God's? Or God merely a mistake of man's? 
 Bertrand Russell,philosophy,M,I would never die for my beliefs because I might be wrong 
 Karl Marx,philosophy,M,Religion is the sign of the oppressed ... it is the opium of the people 
 Aristotle,philosophy,M,Happiness is the highest good 
 Baruch Spinoza,philosophy,M,"If men were born free, they would, so long as they remained free, form no conception of good and evil "
 Epicurus,philosophy,M,"The greater the difficulty, the more glory in surmounting it "
 G. W. F. Hegel,philosophy,M,"Whatever is reasonable is true, and whatever is true is reasonable "
 Immanuel Kant,philosophy,M,"Morality is not the doctrine of how we may make ourselves happy, but of how we may make ourselves worthy of happiness "
 Jean-Paul Sartre,philosophy,M,Man is condemned to be free 
 John Locke,philosophy,M,"It is one thing to show a man that he is in error, and another to put him in possession of truth "
 Ludwig Wittgenstein,philosophy,M,"I don�t know why we are here, but I�m pretty sure it is not in order to enjoy ourselves "
 Plato,philosophy,M,"That man is wisest who, like Socrates, realizes that his wisdom is worthless "
 Socrates,philosophy,M,The only thing I know is that I know nothing 
 Voltaire (in parody of Leibniz),philosophy,M,All is for the best in the best of all possible worlds 
 S�ren Kierkegaard,philosophy,M,"The function of prayer is not to influence God, but rather to change the nature of the one who prays "
 Jean-Jacques Rousseau,philosophy,M,"Man is born free, but is everywhere in chains "
 Denis Diderot,philosophy,M,Man will never be free until the last king is strangled with the entrails of the last priest 
 Ren� Descartes,philosophy,M,"If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things "
 Aristotle,philosophy,M,"Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative "
 Spinoza,philosophy,M,I can control my passions and emotions if I can understand their nature 
 Karl Marx,philosophy,M,"Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it "
 W. K. Clifford,philosophy,M,"It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence "
 Seneca the Younger,philosophy,M,Virtue is nothing else than right reason 
 Epictetus,philosophy,M,"Freedom is secured not by the fulfilling of one's desires, but by the removal of desire "
 Anaxagoras,philosophy,M,"In everything, there is a share of everything "
 Sir Francis Bacon,philosophy,M,A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth men�s minds about to religion 
 Democritus,philosophy,M,The brave man is he who overcomes not only his enemies but his pleasures 
 John Locke,philosophy,M,"Good and evil, reward and punishment, are the only motives to a rational creature "
 John Stuart Mill,philosophy,M,"To do as one would be done by, and to love one's neighbor as oneself, constitute the ideal perfection of utilitarian morality "
 Jean-Paul Sartre,philosophy,M,"Everything that exists is born for no reason, carries on living through weakness, and dies by accident "
 Protagoras,philosophy,M,Man is the measure of all things 
 St. Augustine,philosophy,M,We are too weak to discover the truth by reason alone 
 John Locke,philosophy,M,The mind is furnished with ideas by experience alone 
Hipatia de Alejandr�a,philosophy,F,"Defiende tu derecho a pensar, porque incluso pensar de manera err�nea es mejor que no pensar"
Hildegard von Bingen,philosophy,F,"�Oh, fuerza de la sabidur�a que todo contienes y comprendes"
Christine de Pizan,philosophy,F,"La excelencia o la inferioridad de los seres no residen en sus cuerpos seg�n el sexo, sino en la perfecci�n de sus conductas y virtudes"
�milie Marquise du Ch�telet,philosophy,F,El amor al estudio es la pasi�n m�s necesaria para nuestra felicidad; es una fuente de placer inagotable
Olympe de Gouges,philosophy,F,"Mujer, despierta, el llamamiento de la raz�n se hace o�r en todo el universo; reconoce tus derechos"
Mary Wollstonecraft,philosophy,F,"No deseo que las mujeres tengan poder sobre los hombres, sino sobre s� mismas"
Lou Andreas-Salom�,philosophy,F,"No puedo vivir conforme a ejemplos ni voy a representar jam�s un ejemplo para nadie, pero en cambio voy a darle forma a mi propia vida de acuerdo conmigo misma"
Hannah Arendt,philosophy,F,No hay pensamientos peligrosos; el pensamiento es peligroso
Simone de Beauvoir,philosophy,F,"No se nace mujer, se llega a serlo"
Simone Weil,philosophy,F,Hay que realizar lo posible para alcanzar lo imposible
Emily Bront�,Literature,F,Terror made me crue
Margaret Atwood,Literature,F,We were the people who were not in the papers. We lived in the blank white spaces at the edges of print. It gave us more freedom. We lived in the gaps between the stories.
Charlotte Bront�,Literature,F,Life appears to me too short to be spent in nursing animosity or registering wrongs.
Miguel de Cervantes Saavedra,Literature,M,"Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind"
�Zora Neale Hurston,Literature,F,"She had waited all her life for something, and it had killed her when it found her."
Mary Shelley,Literature,F,Nothing is so painful to the human mind as a great and sudden change.
